stamp_id,photo_path_type,photo_path_type,description,type_name,color,paper,perforation,plate_flaw,catalog_price_superb **,catalog_price_extra_fine,catalog_price_very_fine *,catalog_price_fine,catalog_price_avg (*),catalog_price_poor,catalog_price_post_cover,,,,,
27,path_type1,,světle modrá,a,light blue,machine paper,14,-,,,,,,,,,,,,
27,path_type1,,tmavě modrá,b,dark blue,machine paper,14,-,,,,,,,,,,,,
28,path_type1,,světle hnědá,a,light brown,machine paper,14,-,,,,,,,,,,,,
28,path_type1,,tmavě hnědá,b,dark brown,machine paper,14,-,,,,,,,,,,,,
29,path_type1,,šedo hnědá,a,grey brown,machine paper,hand-cut,-,,,,,,,,,,,,
29,path_type1,,šedo fialová,b,grey-purple,machine paper,hand-cut,-,,,,,,,,,,,,
29,path_type1,,šedá,c,grey,machine paper,hand-cut,-,,,,,,,,,,,,
29,path_type1,,hnědo lila,d,brownish lilac,machine paper,hand-cut,-,,,,,,,,,,,,
30,path_type1,,světle žlutá,a,light yellow,machine paper,9 1/2,-,,,,,,,,,,,,
30,path_type1,,žloutkově žlutá,b,yolk yellow,machine paper,9 1/2,-,,,,,,,,,,,,
30,path_type1,,žlutá - svisle pruhovaný papír,S,yellow,vertically striped paper,9 1/2,-,,,,,600,,,,,,,
31,path_type1,,světle zelená,a,light green,machine paper,9 1/2,-,,,,,,,,,,,,
31,path_type1,,tmavě zelená,b,dark green,machine paper,9 1/2,-,,,,,,,,,,,,
32,path_type1,,růžová,a,pink,machine paper,9 1/2,-,,,,,,,,,,,,
32,path_type1,,tmavě karmínovo růžová,b,dark crimson pink,machine paper,9 1/2,-,,,,,,,,,,,,
32,path_type1,,karmínovo červená,c,crimson red,machine paper,9 1/2,-,,,,,,,,,,,,
32,,,růžová,S,pink,vertically striped paper,9 1/2,-,,,,,900,,,,,,,
33,path_type1,,svělte modrá,a,light blue,machine paper,9 1/2,-,,,,,,,,,,,,
33,path_type1,,zeleno modrá,b,greenish blue,machine paper,9 1/2,-,,,,,,,,,,,,
34,path_type1,,světle hnědá,a,light brown,machine paper,9 1/2,-,,,,,,,,,,,,
34,path_type1,,tmavě hnědá,b,dark brown,machine paper,9 1/2,-,,,,,,,,,,,,
24,path_type1,,žlutá,a,Yellow,machine paper,14,Low format 17 teeth,,,,,,,,,,,,
25,path_type1,,zelená,a,Green,machine paper,14,Low format 17 teeth,,,,,,,,,,,,
26,path_type1,,červená,a,red,machine paper,14,Low format 17 teeth,,,,,,,,,,,,
27,path_type1,,modrá,a,blue,machine paper,14,Low format 17 teeth,,,,,,,,,,,,
24,path_type1,,žlutá,a,yellow,machine paper,14,High format 19 teeth,,,,,,,,,,,,
25,path_type1,,zelená,a,green,machine paper,14,High format 19 teeth,,,,,,,,,,,,
26,path_type1,,červená,a,red,machine paper,14,High format 19 teeth,,,,,,,,,,,,
27,path_type1,,modrá,a,blue,machine paper,14,High format 19 teeth,,,,,,,,,,,,
35,,,žlutá,Ia,yellow,machine paper,9 1/2,-,,,,,,,,,,,,
35,,,"ockrová, oranžová",Ib,"black, orange",machine paper,9 1/2,-,,,,,,,,,,,,
35,path_type1,,tmavě oranžová,Ic,dark orange,machine paper,9 1/2,-,,,,,,,,,,,,
35,path_type1,,hnědo oranžová,Id,brownish orange,machine paper,9 1/2,-,,,,,,,,,,,,
35,path_type1,,světle žlutá,IIa,light yellow,machine paper,9 1/2,-,,,,,,,,,,,,
35,path_type1,,citronově žlutá,IIb,lemon yellow,machine paper,9 1/2,-,,,,,,,,,,,,
36,path_type1,,zelená,Ia,green,machine paper,9 1/2,-,,,,,,,,,,,,
36,path_type1,,tmavě zelená,Ib,dark green,machine paper,9 1/2,-,,,,,,,,,,,,
36,path_type1,,světle zelená,IIa,light green,machine paper,9 1/2,-,,,,,,,,,,,,
36,path_type1,,žluto zelená,IIb,yellow-green,machine paper,9 1/2,-,,,,,,,,,,,,
36,path_type1,,modro-zelená,IIc,blue-green,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,růžovo karmínová,Iaa,pinkish crimson,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,karmínová,Iab,crimson,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,lila ružova,Iac,lilac pink,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,fialovo růžová,Iad,purple-pink,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,růžovo karmínová,Iba,pinkish crimson,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,karmínová,Ibb,crimson,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,lila ružova,Ibc,lilac pink,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,fialovo růžová,Ibd,purple pink,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,světle karmínová,I IIaa,light crimson,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,cihlově červená,I IIab,brick red,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,červená,IIa,red,machine paper,9 1/2,-,,,,,,,,,,,,
37,path_type1,,červená,IIb,red,machine paper,9 1/2,-,,,,,,,,,,,,
38,path_type1,,modrá,Ia,Blue,machine paper,9 1/2,-,,,,,,,,,,,,
38,path_type1,,tmavě modrá ,Ib,dark blue,machine paper,9 1/2,-,,,,,,,,,,,,
38,path_type1,,světle modrá,Ic,light blue,machine paper,9 1/2,-,,,,,,,,,,,,
38,path_type1,,modrá,IIa,blue,machine paper,9 1/2,-,,,,,,,,,,,,
38,path_type1,,světle modrá,IIb,light blue,machine paper,9 1/2,-,,,,,,,,,,,,
39,path_type1,,hnědá,Ia,brown,machine paper,9 1/2,-,,,,,,,,,,,,
39,path_type1,,tmavě hněda,Ib,dark brown,machine paper,9 1/2,-,,,,,,,,,,,,
39,path_type1,,žluto hněda,Ic,yellowish brown,machine paper,9 1/2,-,,,,,,,,,,,,
39,path_type1,,červeno hnědá,Id,reddish brown,machine paper,9 1/2,-,,,,,,,,,,,,
39,path_type1,,žluto hnědá,IIa,yellow brown,machine paper,9 1/2,-,,,,,,,,,,,,
39,path_type1,,šedo hnědá,IIb,grey brown,machine paper,9 1/2,-,,,,,,,,,,,,
39,path_type1,,červeno hnědá,IIc,reddish brown,machine paper,9 1/2,-,,,,,,,,,,,,
39,path_type1,,kaštanová,IId,maroon,machine paper,9 1/2,-,,,,,,,,,,,,
40,path_type1,,šedá,Ia,grey,machine paper,9 1/2,-,,,,,,,,,,,,
40,path_type1,,světlo fialově šedá,Ib,light purple grey,machine paper,9 1/2,-,,,,,,,,,,,,
40,path_type1,,ze světla do tmava fialovo šedá,Ic,light to dark purple grey,machine paper,9 1/2,-,,,,,,,,,,,,
40,path_type1,,fialově šedá,Id,violet grey,machine paper,9 1/2,-,,,,,,,,,,,,
40,path_type1,,hnědo fialová,Ie,brownish purple,machine paper,9 1/2,-,,,,,,,,,,,,
40,path_type1,,fialovo hnědá,If,purple-brown,machine paper,9 1/2,-,,,,,,,,,,,,
40,path_type1,,světle fialovo šedá,IIa,light violet grey,machine paper,9 1/2,-,,,,,,,,,,,,
40,path_type1,,šedo fialová,IIb,grey-purple,machine paper,9 1/2,-,,,,,,,,,,,,
41,path_type1,,hnědá,Ia,brown,machine paper,9 1/2,-,,,,,,,,,,,,
41,path_type1,,červeno hnědá,Ib,reddish brown,machine paper,9 1/2,-,,,,,,,,,,,,
41,path_type1,,hnědo růžová,Ic,brownish pink,machine paper,9 1/2,-,,,,,,,,,,,,
41,path_type1,,liliově šedá,IIa,lilac grey,machine paper,9 1/2,-,,,,,,,,,,,,
41,path_type1,,šedofialová,IIb,grey-purple,machine paper,9 1/2,-,,,,,,,,,,,,
35,path_type1,,žlutá,II,Yellow,machine paper,9,-,,,,,,,,,,,,
36,path_type1,,zelená,II,Green,machine paper,9,-,,,,,,,,,,,,
37,path_type1,,červená,II,red,machine paper,9,-,,,,,,,,,,,,
38,path_type1,,modrá,II,blue,machine paper,9,-,,,,,,,,,,,,
39,path_type1,,hnědá,II,brown,machine paper,9,-,,,,,,,,,,,,
40,path_type1,,šedá,II,grey,machine paper,9,-,,,,,,,,,,,,
41,path_type1,,hnědá,II,brown,machine paper,9,-,,,,,,,,,,,,
35,path_type1,,žlutá,II,yellow,machine paper,10 1/2,-,,,,,,,,,,,,
36,path_type1,,zelená,II,green,machine paper,10 1/2,-,,,,,,,,,,,,
37,path_type1,,červená,II,red,machine paper,10 1/2,-,,,,,,,,,,,,
38,path_type1,,modrá,II,blue,machine paper,10 1/2,-,,,,,,,,,,,,
39,path_type1,,hnědá,II,brown,machine paper,10 1/2,-,,,,,,,,,,,,
40,path_type1,,šedá,II,grey,machine paper,10 1/2,-,,,,,,,,,,,,
41,path_type1,,hnědá,II,brown,machine paper,10 1/2,-,,,,,,,,,,,,
35,path_type1,,žlutá,II,yellow,machine paper,12,-,,,,,,,,,,,,
36,path_type1,,zelená,II,green,machine paper,12,-,,,,,,,,,,,,
37,path_type1,,červená,II,red,machine paper,12,-,,,,,,,,,,,,
38,path_type1,,modrá,II,blue,machine paper,12,-,,,,,,,,,,,,
39,path_type1,,hnědá,II,brown,machine paper,12,-,,,,,,,,,,,,
40,path_type1,,šedá,II,grey,machine paper,12,-,,,,,,,,,,,,
41,path_type1,,hnědá,II,brown,machine paper,12,-,,,,,,,,,,,,
35,path_type1,,žlutá,II,yellow,machine paper,13,-,,,,,,,,,,,,
36,path_type1,,zelená,II,green,machine paper,13,-,,,,,,,,,,,,
37,path_type1,,červená,II,red,machine paper,13,-,,,,,,,,,,,,
38,path_type1,,modrá,II,blue,machine paper,13,-,,,,,,,,,,,,
39,path_type1,,hnědá,II,brown,machine paper,13,-,,,,,,,,,,,,
40,path_type1,,šedá,II,grey,machine paper,13,-,,,,,,,,,,,,
41,path_type1,,hnědá,II,brown,machine paper,13,-,,,,,,,,,,,,
35,path_type1,,žlutá,II,yellow,machine paper,9 : 10 1/2,-,,,,,,,,,,,,
36,path_type1,,zelená,II,green,machine paper,9 : 10 1/2,-,,,,,,,,,,,,
37,path_type1,,červená,II,red,machine paper,9 : 10 1/2,-,,,,,,,,,,,,
38,path_type1,,modrá,II,blue,machine paper,9 : 10 1/2,-,,,,,,,,,,,,
39,path_type1,,hnědá,II,brown,machine paper,9 : 10 1/2,-,,,,,,,,,,,,
40,path_type1,,šedá,II,grey,machine paper,9 : 10 1/2,-,,,,,,,,,,,,
41,path_type1,,hnědá,II,brown,machine paper,9 : 10 1/2,-,,,,,,,,,,,,
35,path_type1,,žlutá,II,yellow,machine paper,10 1/2 : 9,-,,,,,,,,,,,,
36,path_type1,,zelená,II,green,machine paper,10 1/2 : 9,-,,,,,,,,,,,,
37,path_type1,,červená,II,red,machine paper,10 1/2 : 9,-,,,,,,,,,,,,
38,path_type1,,modrá,II,blue,machine paper,10 1/2 : 9,-,,,,,,,,,,,,
39,path_type1,,hnědá,II,brown,machine paper,10 1/2 : 9,-,,,,,,,,,,,,
40,path_type1,,šedá,II,grey,machine paper,10 1/2 : 9,-,,,,,,,,,,,,
41,path_type1,,hnědá,II,brown,machine paper,10 1/2 : 9,-,,,,,,,,,,,,
35,path_type1,,žlutá,II,yellow,machine paper,10 1/2 : 12,-,,,,,,,,,,,,
36,path_type1,,zelená,II,green,machine paper,10 1/2 : 12,-,,,,,,,,,,,,
37,path_type1,,červená,II,red,machine paper,10 1/2 : 12,-,,,,,,,,,,,,
38,path_type1,,modrá,II,blue,machine paper,10 1/2 : 12,-,,,,,,,,,,,,
39,path_type1,,hnědá,II,brown,machine paper,10 1/2 : 12,-,,,,,,,,,,,,
